,appid,tags,genre
413420,413420,"Anime, Detective, Visual Novel, Mystery",Adventure
414700,414700,"Horror, Psychological Horror, Survival Horror, First-Person","Action, Adventure, Indie"
415200,415200,"Management, Racing, Simulation, Strategy","Racing, Simulation, Sports, Strategy"
41700,41700,"Atmospheric, Open World, Post-apocalyptic, FPS","Action, RPG"
418030,418030,"Open World Survival Craft, Survival, Crafting, Multiplayer","Action, Early Access"
418240,418240,"Stealth, Strategy, Tactical, Ninja","Indie, Strategy"
418370,418370,"Horror, Survival Horror, First-Person, Singleplayer","Action, Adventure"
418460,418460,"FPS, War, Realistic, Military","Action, Massively Multiplayer, Simulation, Strategy"
418530,418530,"Platformer, 2D Platformer, Perma Death, Action Roguelike","Action, Indie"
420,420,"FPS, Action, Sci-fi, Singleplayer",Action
421020,421020,"Racing, Simulation, Automobile Sim, Multiplayer","Racing, Simulation, Sports"
424370,424370,"Hack and Slash, Action RPG, Isometric, Multiplayer","Action, Adventure, Indie, RPG"
424840,424840,"Horror, Atmospheric, Adventure, Singleplayer",Adventure
42700,42700,"Action, FPS, Zombies, Multiplayer",Action
427290,427290,"Vampire, RPG, Choices Matter, Story Rich","Action, RPG"
427520,427520,"Automation, Base-Building, Resource Management, Sandbox","Casual, Indie, Simulation, Strategy"
429050,429050,"Simulation, Underwater, Survival, Multiplayer","Action, Indie, Simulation, Early Access"
42960,42960,"Grand Strategy, Strategy, Historical, Political Sim",Strategy
429660,429660,"Anime, JRPG, RPG, Female Protagonist","Action, RPG"
429790,429790,"MMORPG, Exploration, Hack and Slash, Parkour","Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG"
431240,431240,"Multiplayer, Casual, Mini Golf, Sports","Casual, Indie, Sports"
431730,431730,"Pixel Graphics, Design & Illustration, Animation & Modeling, Game Development","Animation & Modeling, Design & Illustration, Game Development"
431750,431750,"Casual, Tower Defense, Strategy, Indie","Casual, Indie, Strategy"
431960,431960,"Mature, Utilities, Software, Anime","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities"
433340,433340,"Cute, Exploration, Adventure, Singleplayer","Action, Adventure, Indie, Simulation"
434170,434170,"Trivia, Local Multiplayer, Funny, Board Game","Casual, Indie, Strategy"
434650,434650,"4 Player Local, Action Roguelike, Beat 'em up, Side Scroller","Action, Adventure, Indie, RPG"
435120,435120,"Puzzle, Point & Click, Indie, Adventure","Adventure, Indie"
435150,435150,"Tactical RPG, RPG, Turn-Based Strategy, Story Rich","Adventure, RPG, Strategy"
436150,436150,"Gambling, Card Game, Sports, Free to Play","Casual, Free to Play, Massively Multiplayer, Simulation"
438040,438040,"Free to Play, RPG, Casual, Massively Multiplayer","Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Strategy"
438100,438100,"VR, Free to Play, Memes, Anime","Adventure, Casual, Free to Play, Massively Multiplayer, Simulation, Sports, Early Access"
438740,438740,"Horror, Multiplayer, Survival Horror, Survival",Action
440,440,"Free to Play, Hero Shooter, Multiplayer, FPS","Action, Free to Play"
440900,440900,"Survival, Open World, Building, Nudity","Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy"
442120,442120,"Pinball, Free to Play, Simulation, Arcade",Simulation
443110,443110,"Tanks, Free to Play, Action, Multiplayer","Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, Racing, Simulation, Strategy"
444090,444090,"Hero Shooter, Free to Play, Multiplayer, FPS","Action, Adventure, Free to Play, Massively Multiplayer, Strategy"
444200,444200,"Tanks, Free to Play, Action, Multiplayer","Action, Free to Play, Massively Multiplayer"
444640,444640,"Free to Play, Tower Defense, Multiplayer, Strategy","Action, Free to Play, Strategy"
445220,445220,"Exploration, Flight, Building, Choose Your Own Adventure","Action, Indie, Simulation"
446800,446800,"Simulation, Management, Economy, Trains",Simulation
447020,447020,"Farming Sim, Simulation, Automobile Sim, Multiplayer",Simulation
447040,447040,"Open World, Hacking, Illuminati, Parkour","Action, Adventure"
4500,4500,"Atmospheric, Post-apocalyptic, Open World, FPS","Action, RPG"
450540,450540,"Sandbox, Physics, FPS, Shooter","Action, Indie, Simulation, Early Access"
451340,451340,"Simulation, Mining, Singleplayer, Realistic","Indie, Simulation"
453480,453480,"Free to Play, Card Battler, Trading Card Game, Deckbuilding","Free to Play, Strategy"
454650,454650,"Anime, Fighting, Character Customization, Action","Action, Adventure, Casual, Massively Multiplayer"
457140,457140,"Colony Sim, Base-Building, Survival, Resource Management","Indie, Simulation"
4580,4580,"Strategy, Warhammer 40K, RTS, Base-Building",Strategy
459820,459820,"Sexual Content, Free to Play, Nudity, Dating Sim","Casual, Free to Play, Indie"
460790,460790,"Action, Female Protagonist, Hack and Slash, Sexual Content","Action, Adventure"
460930,460930,"Open World, Shooter, Co-op, Multiplayer","Action, Adventure"
463530,463530,"Early Access, Strategy, Colony Sim, Action RTS","Indie, Simulation, Strategy, Early Access"
464920,464920,"Colony Sim, City Builder, Strategy, Space","Simulation, Strategy"
466170,466170,"Free to Play, Indie, Simulation, Casual","Casual, Free to Play, Indie, Simulation, Strategy"
466240,466240,"PvP, Multiplayer, Free to Play, Horror","Action, Free to Play, Indie"
466560,466560,"City Builder, RTS, Strategy, Colony Sim","Indie, Simulation, Strategy"
469600,469600,"Tower Defense, Multiplayer, Auto Battler, Strategy","Casual, Indie, Strategy"
4700,4700,"Strategy, Medieval, Historical, Turn-Based Strategy",Strategy
470220,470220,"Card Game, Multiplayer, Tabletop, Board Game",Casual
